city_id,name,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
73,Chokurdakh,92,RU,11/14/2019 17:42,96,70.62,147.9,-0.67,2.21
74,Kaka,100,TM,11/14/2019 17:42,70,37.35,59.62,39.11,2.19
75,Tiksi,0,RU,11/14/2019 17:42,94,71.64,128.87,-13.29,2.91
76,Meulaboh,100,ID,11/14/2019 17:42,78,4.14,96.13,81.01,3.67
77,Mahebourg,75,MU,11/14/2019 17:42,73,-20.41,57.7,75.2,9.17
78,Constitucion,20,MX,11/14/2019 17:42,32,23.99,-104.67,68,2.24
79,Cap Malheureux,75,MU,11/14/2019 17:42,73,-19.98,57.61,75.2,9.17
80,Husavik,49,CA,11/14/2019 17:42,71,50.56,-96.99,21.99,11.1
81,Yilan,43,CN,11/14/2019 17:42,29,43.11,129.52,22.87,14.2
82,Ponta do Sol,100,BR,11/14/2019 17:42,90,-20.63,-46,67.53,3.6
83,Narsaq,100,GL,11/14/2019 17:42,64,60.91,-46.05,35.6,24.16
84,Korbach,87,DE,11/14/2019 17:42,92,51.28,8.87,39.99,8.05
85,Nushki,83,PK,11/14/2019 17:42,52,29.55,66.02,55,2.75
86,Lebu,20,ET,11/14/2019 17:42,66,8.96,38.73,53.6,4.7
87,Naryan-Mar,100,RU,11/14/2019 17:42,92,67.67,53.09,19.54,16.53
88,Massaguet,29,TD,11/14/2019 17:42,47,12.48,15.44,75.2,3.36
89,Irpa Irpa,90,BO,11/14/2019 17:42,100,-17.72,-66.29,55.4,5.82
90,New Norfolk,20,AU,11/14/2019 17:42,30,-42.78,147.06,59,21.92
91,Bonthe,94,SL,11/14/2019 17:42,85,7.53,-12.5,79.25,5.79
92,Lucapa,98,AO,11/14/2019 17:42,98,-8.42,20.74,66.92,2.01
93,Souillac,96,FR,11/14/2019 17:42,100,45.6,-0.6,41,1.12
94,Itoman,20,JP,11/14/2019 17:42,60,26.12,127.67,68,13.87
95,Do Gonbadan,0,IR,11/14/2019 17:42,57,30.36,50.8,50,1.21
96,Bosaso,0,SO,11/14/2019 17:42,78,11.28,49.18,79.63,14.38
97,Clyde River,75,CA,11/14/2019 17:42,92,70.47,-68.59,14,25.28
98,Qaanaaq,68,GL,11/14/2019 17:42,54,77.48,-69.36,12.99,2.51
99,Vaini,2,IN,11/14/2019 17:42,94,15.34,74.49,64.51,5.12
100,Mahajanga,20,MG,11/14/2019 17:42,88,-15.72,46.32,78.8,6.93
101,Horsham,100,AU,11/14/2019 17:42,62,-36.71,142.2,57.45,11.27
102,Barrow,62,AR,11/14/2019 17:42,62,-38.31,-60.23,56.79,5.08
103,Agadir,85,MA,11/14/2019 17:42,100,30.42,-9.58,51.8,3.36
104,Jiuquan,79,CN,11/14/2019 17:42,27,39.73,98.49,28.51,0.81
105,Kruisfontein,0,ZA,11/14/2019 17:42,82,-34,24.73,57.51,4.29
106,Kaitangata,32,NZ,11/14/2019 17:42,75,-46.28,169.85,57.99,11.99
107,Zyryanka,93,RU,11/14/2019 17:42,98,65.73,150.89,-4.52,7.67
108,Aanekoski,90,FI,11/14/2019 17:42,93,62.6,25.73,36,11.41
109,Atotonilco el Alto,47,MX,11/14/2019 17:42,67,20.55,-102.51,64.94,2.39
110,Lorengau,83,PG,11/14/2019 17:42,68,-2.02,147.27,83.75,4.18
111,Barreirinha,100,BR,11/14/2019 17:42,95,-2.8,-57.07,75.29,1.9
112,Sinnamary,5,GF,11/14/2019 17:42,77,5.38,-52.96,82.31,11.61
113,Sarangani,10,PH,11/14/2019 17:42,78,5.4,125.46,82.92,14.58
114,Balkanabat,0,TM,11/14/2019 17:42,67,39.51,54.36,38.44,4.32
115,Chapleau,90,CA,11/14/2019 17:42,92,47.85,-83.4,24.8,10.29
116,Esperance,90,AU,11/14/2019 17:40,72,-33.86,121.89,60.8,12.75
117,Kahului,40,US,11/14/2019 17:42,48,20.89,-156.47,87.8,9.17
118,Patnagarh,0,IN,11/14/2019 17:42,74,20.71,83.13,62.38,2.1
119,Turukhansk,90,RU,11/14/2019 17:42,93,65.8,87.96,-18.99,4.97
120,Newton,75,US,11/14/2019 17:42,80,42.34,-71.21,39.2,6.93
121,Mount Isa,26,AU,11/14/2019 17:42,9,-20.73,139.49,84.2,13.87
122,Severo-Kurilsk,97,RU,11/14/2019 17:42,87,50.68,156.12,28.98,9.04
123,Curup,99,ID,11/14/2019 17:42,93,-3.47,102.53,69.37,4.5
124,Chifeng,17,CN,11/14/2019 17:42,66,42.27,118.96,20.25,3.78
125,Plettenberg Bay,0,ZA,11/14/2019 17:42,78,-34.05,23.37,62.55,2.93
126,Neiafu,20,TO,11/14/2019 17:42,61,-18.65,-173.98,82.4,5.82
127,Beaverlodge,90,CA,11/14/2019 17:42,100,55.21,-119.43,24.8,2.24
128,Salalah,20,OM,11/14/2019 17:42,65,17.01,54.1,78.8,2.24
129,Georgetown,75,GY,11/14/2019 17:39,79,6.8,-58.16,84.2,11.41
130,Tuatapere,87,NZ,11/14/2019 17:42,49,-46.13,167.69,64,13
131,Kachug,40,RU,11/14/2019 17:42,93,53.96,105.89,-3.24,1.95
132,Goure,93,NE,11/14/2019 17:42,17,13.98,10.27,73.99,11.99
133,Atar,88,MR,11/14/2019 17:42,13,20.52,-13.05,72.45,1.61
134,Iralaya,75,HN,11/14/2019 17:42,94,15,-83.23,77,8.5
135,Biak,31,ID,11/14/2019 17:42,63,-0.91,122.88,80.62,5.08
136,Cabo San Lucas,75,MX,11/14/2019 17:42,65,22.89,-109.91,80.6,0.85
137,Namatanai,100,PG,11/14/2019 17:42,71,-3.66,152.44,83.28,2.64
138,Seoul,75,KR,11/14/2019 17:39,100,37.57,126.98,46.4,2.24
139,Karatau,100,KZ,11/14/2019 17:42,52,43.18,70.46,28.99,3.85
140,Varnamo,90,SE,11/14/2019 17:42,100,57.19,14.04,35.6,9.48
141,Takoradi,95,GH,11/14/2019 17:42,83,4.89,-1.75,78.89,6.2
142,Sambava,87,MG,11/14/2019 17:42,98,-14.27,50.17,72.25,0.58
143,Lasa,20,CY,11/14/2019 17:42,77,34.92,32.53,71.6,2.24
144,Egvekinot,46,RU,11/14/2019 17:42,91,66.32,-179.17,9.81,12.82
145,Beyneu,0,KZ,11/14/2019 17:42,80,45.32,55.19,34.88,13.51
146,Dikson,95,RU,11/14/2019 17:42,95,73.51,80.55,1.94,11.92
147,Tasiilaq,100,GL,11/14/2019 17:42,98,65.61,-37.64,32.16,15.97
148,Puerto Ayora,75,EC,11/14/2019 17:42,69,-0.74,-90.35,75.2,6.93
149,Bandarbeyla,23,SO,11/14/2019 17:42,77,9.49,50.81,79.36,15.26
150,Namibe,32,AO,11/14/2019 17:42,76,-15.19,12.15,72.3,13.2
151,Brae,6,GB,11/14/2019 17:42,86,60.4,-1.35,39.2,3.36
152,La Palma,81,CO,11/14/2019 17:42,97,5.36,-74.39,69.85,3.02
153,Paamiut,98,GL,11/14/2019 17:42,72,61.99,-49.67,33.33,35.57
154,Omsukchan,100,RU,11/14/2019 17:42,98,62.53,155.8,4.19,3
155,Aitape,0,PG,11/14/2019 17:42,76,-3.15,142.36,81.59,4.74
156,Monrovia,75,LR,11/14/2019 17:42,94,6.33,-10.8,77,5.95
157,West Wendover,1,US,11/14/2019 17:42,49,40.74,-114.07,46.4,2.75
158,Psebay,0,RU,11/14/2019 17:42,24,44.12,40.81,46.89,5.73
159,Nioro,90,GM,11/14/2019 17:42,34,13.79,-15.05,78.78,7.81
160,Puerto Ayacucho,82,CO,11/14/2019 17:42,91,5.66,-67.63,76.48,2.44
161,Santa Ines,40,EC,11/14/2019 17:42,71,-0.82,-78.63,55.4,10.29
162,Saint-Philippe,90,CA,11/14/2019 17:42,74,45.36,-73.48,30,12.75
163,Vardo,90,US,11/14/2019 17:42,59,39.62,-77.74,37.4,4.81
164,Teknaf,0,BD,11/14/2019 17:42,92,20.86,92.31,69.64,1.97
165,Selaphum,20,TH,11/14/2019 17:42,78,16.03,103.94,71.6,10.29
166,Chumphon,90,TH,11/14/2019 17:43,100,10.5,99.18,77,8.05
167,Tura,100,RU,11/14/2019 17:43,98,64.27,100.22,-18.26,2.64
168,Shitanjing,0,CN,11/14/2019 17:43,25,39.23,106.34,35.28,3.6
169,Geraldton,90,CA,11/14/2019 17:43,85,49.72,-86.95,15.8,9.17
170,Tazovskiy,0,RU,11/14/2019 17:43,93,67.47,78.7,-16.65,3.09
171,Cidreira,61,BR,11/14/2019 17:43,89,-30.17,-50.22,70.63,17.85
172,Vanavara,29,RU,11/14/2019 17:43,93,60.35,102.28,-24.81,4.34
173,Kazanka,35,UA,11/14/2019 17:43,86,47.83,32.83,39.2,13.42
174,Ulverstone,17,AU,11/14/2019 17:43,41,-41.16,146.17,60.01,5.99
175,Tual,100,ID,11/14/2019 17:43,65,-5.67,132.75,81.55,3.09
176,Anadyr,71,RU,11/14/2019 17:43,72,64.73,177.51,17.6,6.71
177,Sitka,0,US,11/14/2019 17:43,46,37.17,-99.65,50,3.31
178,Panjab,94,AF,11/14/2019 17:43,95,34.38,67.02,21.13,1.32
179,Angoche,97,MZ,11/14/2019 17:43,79,-16.23,39.91,79.43,8.08
180,Coihaique,75,CL,11/14/2019 17:43,63,-45.58,-72.07,60.8,4.7
181,Ust-Tsilma,100,RU,11/14/2019 17:43,96,65.44,52.15,29.93,8.41
182,Comodoro Rivadavia,34,AR,11/14/2019 17:41,36,-45.87,-67.48,77,12.75
